                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77229,                0.55757,                0.96042,                0.62371,                0.53171,                0.54362,                0.41309,                0.81709,                0.77547,                 1.0243,                0.00307,                0.00307,                0.00307
                     37,                0.73774,                0.54682,                 0.9533,                0.66709,                0.55343,                0.54614,                0.41997,                0.81658,                0.73516,                 1.0363,               0.002872,               0.002872,               0.002872
                     38,                0.74903,                0.54625,                0.96512,                0.65653,                0.57452,                0.55379,                0.43684,                0.82086,                0.70445,                 1.0353,               0.002674,               0.002674,               0.002674
                     39,                0.72571,                0.55055,                0.94535,                0.61118,                0.55763,                0.54844,                0.41531,                 0.8213,                0.69882,                 1.0231,               0.002476,               0.002476,               0.002476
                     40,                0.68381,                0.48615,                0.91512,                0.57553,                0.55763,                0.54507,                0.41714,                0.83454,                0.73781,                 1.0398,               0.002278,               0.002278,               0.002278
                     41,                0.63357,                0.43613,                0.90461,                0.73469,                0.51826,                 0.5406,                0.42376,                0.79186,                 0.7395,                 1.0151,                0.00208,                0.00208,                0.00208
                     42,                0.62537,                0.42763,                0.88401,                0.70269,                0.51659,                0.53942,                 0.4271,                0.78883,                0.72274,                 1.0092,               0.001882,               0.001882,               0.001882
                     43,                0.62124,                0.43291,                 0.8889,                0.73692,                0.51659,                0.54586,                0.43583,                0.81506,                 0.7128,                 1.0128,               0.001684,               0.001684,               0.001684
                     44,                0.59562,                0.41548,                0.87557,                0.54258,                 0.5857,                0.55532,                0.43749,                0.81038,                0.70177,                 1.0063,               0.001486,               0.001486,               0.001486
                     45,                0.57965,                0.39736,                0.88018,                0.55735,                0.53903,                0.54294,                0.42258,                0.80448,                0.72936,                  1.016,               0.001288,               0.001288,               0.001288
                     46,                0.56859,                0.39956,                0.87542,                0.68885,                0.51659,                 0.5498,                0.43563,                0.77661,                0.70868,                 1.0073,                0.00109,                0.00109,                0.00109
                     47,                 0.5592,                0.39294,                0.87227,                0.56224,                0.59867,                0.57758,                0.44198,                0.76142,                0.69741,                 1.0035,               0.000892,               0.000892,               0.000892
                     48,                0.56185,                0.38687,                0.86627,                0.65513,                0.55763,                0.57788,                0.44879,                0.75788,                0.67157,                 1.0062,               0.000694,               0.000694,               0.000694
                     49,                0.54281,                0.37953,                0.86766,                0.76245,                0.55372,                0.59366,                0.45705,                0.74208,                0.66572,                 1.0008,               0.000496,               0.000496,               0.000496
